id,complaint_percentile,unit,is_sup
2478,62.0916,Public Transportation Section,0
3965,81.9710,Freedom Of Information Section,0
8134,82.0297,District 018,0
8642,85.8851,District 007,0
9459,89.3508,District 007,0
16167,67.2073,District 011,0
25197,97.2450,District 011,0
30863,45.4575,Detective Area - South,0
4993,74.3304,Public Transportation Section,0
6222,92.1134,District 011,0
6824,58.0740,District 015,0
12651,63.9272,Mounted Unit,0
14915,50.8666,District 024,0
21494,38.3141,Detective Area - South,0
1018,95.3269,District 008,0
4671,87.1232,Gang Enforcement - Area Central,0
6155,74.2512,District 002,0
6207,71.2659,Detective Area - North,0
6564,69.1720,District 019,0
7032,91.2155,District 025,0
9963,94.4098,District 016,0
12040,84.1924,District 014,0
13578,39.8464,District 010,0
17465,35.0770,Special Events Unit,0
29703,53.4447,Public Transportation Section,0
16358,45.4473,District 011,0
21455,89.9851,District 005,0
23033,74.6198,Legal Affairs Section,0
28436,22.0908,District 022,0
31823,98.8613,Gang Investigation Division,0
1892,47.6933,Inspection Division,0
3743,81.1585,Gang Enforcement - Area Central,0
6284,71.3500,Detective Area - Central,0
7072,98.9110,District 004,0
7628,75.3238,District 015,0
16937,73.3789,Forensic Services Division,0
23400,85.8316,Marine Operations Unit,0
27570,48.6340,Office Of News Affairs,0
30737,93.9131,District 025,0
32042,74.1622,District 025,0
10302,57.6554,Mounted Unit,0
15596,30.7233,Detached Services - Goverment Security,0
27746,49.7918,Education And Training Division,0
3850,56.9371,Fop Detail,0
6343,97.7800,District 006,0
10917,42.8069,Detective Area - Central,0
15947,62.8522,District 001,0
18848,54.2318,Bureau Of Internal Affairs,0
31223,78.6176,District 006,0
31578,99.1785,Gang Enforcement - Area South,0
32366,99.5415,Gang Investigation Division,0
2013,95.8924,District 005,0
3697,85.8046,District 005,0
10052,45.3207,District 011,0
10698,89.5495,District 001,0
1149,91.3760,Public Transportation Section,0
2930,70.7348,Detective Area - North,0
8287,94.2648,Detective Area - South,0
10259,95.7625,District 008,0
11446,78.9576,Gang Enforcement - Area Central,0
22000,42.4722,Detective Area - South,0
22556,49.7918,Airport Law Enforcement Section - North,0
25677,87.8186,District 018,0
27026,61.3656,District 019,0
4286,98.5971,District 009,0
6044,16.2045,District 008,0
24715,68.2511,District 022,0
28667,88.7509,District 005,0
997,78.4036,District 016,0
1662,97.3750,Gang Enforcement - Area Central,0
2600,93.8852,Airport Law Enforcement Section - South,0
3771,93.1795,District 018,0
6087,58.5113,District 015,0
17825,81.8234,District 005,0
17977,46.0932,District 005,0
22388,51.0325,Airport Law Enforcement Section - South,0
25819,23.0217,District 020,0
26520,83.5772,District 009,0
27530,26.0938,Airport Law Enforcement Section - South,0
28740,98.9473,Bureau Of Support Services,0
30262,91.8018,District 006,0
821,49.9323,Airport Law Enforcement Section - North,0
4038,90.3939,District 004,0
9369,45.4921,District 017,0
9895,66.1648,District 019,0
10605,72.6797,District 018,0
12726,83.0356,District 002,0
